Staff Name,Research Activity,Stream,Preferred Probability
Wilson "Kingpin" Fisk,running a crime family,DS,0.33005043964500946
Lucifer,promoting wickedness,DS,0.3953027394801976
Sergey Brin,performing Web searches,CS+DS,0.057740752917447805
Thor Odinson,smiting frost giants,DS,0.38304309401519726
Pyotr Ilyich Tchaikovsky,composing classical music,CS,0.39013967432901886
George Orwell,promoting liberalism,CS+DS,0.3470433298763804
Ringo Starr,singing pop songs,CS,0.029911398058492508
Hugh Grant,starring in romantic comedies,CS,0.2298598077363448
Al Gore,lecturing about climate change,CS+DS,0.09719464271265518
Wilkins Micawber,buying on credit,DS,0.3760724677686056
Glenn Beck,ranting about liberals,CS+DS,0.34017542933159944
Oprah Winfrey,interviewing politicians,CS+DS,0.3565150589891734
Rihanna,singing pop songs,CS,0.18836881740962635
Gary Larson,drawing whimsical cartoons,CS+DS,0.3027558335169793
Captain William Bligh,cracking the whip,CS+DS,0.045738145474265815
Neville Chamberlain,appeasing belligerent dictators,CS+DS,0.22926115522297974
Bilbo Baggins,posing riddles,DS,0.15120962974662294
Savonarola,promoting conservative values,CS,0.37354346287076556
Stephen Jay Gould,promoting evolutionary theory,CS,0.19196805472570047
Orville Wright,promoting new technologies,CS,0.39886802894666973
Katniss Everdeen,fighting for justice,DS,0.3578323000398874
Otto von Bismarck,wielding political power,CS+DS,0.1508430200801945
Caitlyn Jenner,campaigning for social causes,CS,0.3129141985008527
Tom Waits,singing blues songs,CS,0.19441290476010997
Eric Clapton,singing blues songs,CS+DS,0.35830468427920803
Dr. Evil,demanding ransoms from the U.N.,DS,0.15648992265270914
Giacomo Casanova,womanizing,CS+DS,0.1105147130400742
Pablo Picasso,painting abstract pictures,CS+DS,0.0754058060753259
Jack Sparrow,collecting pirate booty,DS,0.39375753834854904
Pamela Anderson,making unauthorized sex tapes,CS+DS,0.27909229986985506
Professor Hans Zarkov,building rocket ships,DS,0.35459358278816006
Benjamin Franklin,testing scientific theories,CS+DS,0.34461582507381894
John McEnroe,whining at umpires,CS+DS,0.36037154832753354
Maleficent,poisoning an apple,DS,0.1715077816335075
Janet Jackson,writing pop songs,CS,0.1029041234167525
Kevin Bacon,forming new social connections,CS,0.3408393371078111
Robert Redford,running film festivals,CS+DS,0.30662814881608397
Marc Jacobs,designing clothes,CS,0.258762849806357
King David,ruling over subjects,CS+DS,0.2136075157714695
Galileo Galilei,promoting Heliocentrism,CS+DS,0.07546585137028819
Simone de Beauvoir,moaning about men,CS+DS,0.07531162125624632
Dorothy Parker,making witty remarks,CS+DS,0.29532241658999814
Lee Marvin,starring in Hollywood movies,CS,0.15228984883728192
Friedrich Nietzsche,teaching philosophy,CS+DS,0.2875453622723903
Pac Man,eating power pellets,DS,0.21364810338577075
Borat,interviewing celebrities,DS,0.22344598288397283
Madonna,singing pop songs,CS+DS,0.3984662262727749
Selena Gomez,writing pop songs,CS+DS,0.39892741331941467
Lee Harvey Oswald,assassinating presidents,CS+DS,0.11699741309380988
Joe DiMaggio,playing baseball,CS+DS,0.35385319569076296
Morrissey,singing pop songs,CS,0.07994223937282313
Buzz Lightyear,falling gracefully,DS,0.38087921221384424
Sarah Jessica Parker,shopping for shoes,CS,0.3937263557715201
Richard B. Riddick,evading mercenaries,DS,0.3819732303015778
Donald Rumsfeld,holding evasive press conferences,CS+DS,0.22716262771502263
Larry David,doing stand-up,CS+DS,0.16920999049347324
Ebenezer Scrooge,pinching pennies,DS,0.22913773657967265
Miss Havisham,seeking revenge,DS,0.39406512839362945
George Clooney,womanizing,CS,0.36373954679398435
Miles Davis,playing jazz saxophone,CS+DS,0.2810417849028871
Niccolò Machiavelli,currying favour,CS+DS,0.1144034833390375
Neil Armstrong,going for a spacewalk,CS,0.13064317752452495
Colin Farrell,womanizing,CS+DS,0.38648988477234986
Bruce Wayne,running a multinational corporation,DS,0.25068999702648503
King David,running a kingdom,CS+DS,0.39829032320188684
Christopher Columbus,exploring the new world,CS,0.31554575303751015
Kenneth Parcell ,leading tour groups,DS,0.1014823315535281
Bear Grylls,sucking roots,CS,0.353126974892268
Richard Dawkins,promoting Darwinism,CS+DS,0.39830390836582097
Dana Scully,investigating alien abductions,DS,0.3968501664355583
Lance Armstrong,riding a bicycle,CS,0.39040595174811327
Elmore Leonard,writing crime stories,CS,0.06363917500943227
Count Dracula,sucking blood,DS,0.14076926100234557
Hans Gruber,organizing armed robberies,DS,0.3950044336766488
Elmore Leonard,writing compelling dialogue,CS,0.1684940880177968
René Descartes,teaching philosophy,CS+DS,0.3794301913388748
Queen Elizabeth I,ruling over subjects,CS+DS,0.3985050565181043
Dominique Strauss-Kahn,planning orgies,CS+DS,0.3878788398410362
Jerry Lee Lewis,marrying underage girls,CS+DS,0.3284710239215939
Isaac Newton,studying mathematics,CS+DS,0.28435126104144043
Jack Reacher,finding clues,DS,0.36790432307886867
Andy Warhol,painting over photographs,CS,0.37759229800570115
Harry S. Truman,campaigning for the presidency,CS,0.37691191095846005
Jesse Jackson,suing large corporations,CS,0.29941633476144
Sinead O'Connor,writing pop songs,CS,0.10919303235934459
Pablo Escobar,running a smuggling business,CS+DS,0.2515344786883399
Mike  Pence,promoting conservative values,CS+DS,0.215332865720604
Pippi Longstocking,playing pranks,DS,0.3472707982265536
Grigori Rasputin,climbing social ladders,CS+DS,0.13135426222810676
Del Boy Trotter,selling dodgy goods,DS,0.3212269362368244
Grigori Rasputin,wielding political power,CS+DS,0.19003461988259165
Wayne Rooney,playing soccer,CS+DS,0.030685960112870496
Sean Hannity,spreading political gossip,CS+DS,0.34213548239585817
Doris Day,starring in romantic comedies,CS+DS,0.28295440863215454
Fidel Castro,promoting socialism,CS,0.3851435593188716
Eddie Murphy,starring in action movies,CS+DS,0.3850921355589547
Red Sonja,defending the weak,DS,0.36364149734213463
Donald Rumsfeld,promoting new wars,CS+DS,0.3957240660370092
Stewie Griffin,plotting against family members,DS,0.36636132490374756
H.P. Lovecraft,writing for pulp magazines,CS,0.23294003359962787
Christina Aguilera,singing pop songs,CS+DS,0.13165568063134506
Melania Trump,posing for photographs,CS,0.3976467988713312
Peter Jackson,making fantasy movies,CS,0.12570594571000027
Mr. Miyagi,teaching the next generation,DS,0.3782551745942527
