First Name,Last Name,ID,Stream,Preference 1,Preference 2,Preference 3,Preference 4,Preference 5,Preference 6,Preference 7,Preference 8,Preference 9,Preference 10
Robert,Jr,27920810,CS,launching a war,running a business empire,enriching uranium,popping Viagra,avoiding taxes,promoting racial harmony,planning tank battles,bridging cultures,throwing fund-raisers for Parkinson's disease,playing the violin
Dan,Brown,69984809,CS,composing classical music,fighting with swords,pioneering new technologies,bridging cultures,making madcap comedies,winning battles,delivering forehand slams,over-acting,hitting home runs,robbing banks
Glenn,Beck,15581925,DS,cooking for friends,studying symbols,handing out flowers,running a hotel,inventing electrical marvels,hunting demons,pulling pranks,poisoning an apple,pulling capers,making action movies
Connie,Stevens,37762635,CS,working out,running a crime family,starring in Hollywood movies,burning with envy,writing modern fiction,making action movies,painting abstract pictures,writing blues songs,directing movies,playing classical piano
Marcel,Marceau,49375482,CS,wielding political power,working out,directing Hollywood movies,starring in romantic comedies,writing pop songs,running an empire,winning battles,playing ice hockey,interviewing politicians,developing operating systems
Michael,Dell,96979403,DS,hunting serial killers,reading minds,pioneering new technologies,collecting pirate booty,fighting in gladiator arenas,promoting liberal values,belching,reading the news,following clues,going on commando missions
Barbara,Carrera,88886592,CS,plotting strategies,starring in madcap comedies,pouting on camera,singing pop songs,making action movies,reporting the news,singing pop songs,painting colorful pictures,currying favour,coining sparkling witticisms
Ezra,Pound,13966552,DS,collecting bounties on runaways,disappointing suitors,promoting mysticism,promoting liberal values,running a hotel,playing rock guitar,mangling idioms,foiling the schemes of evil villains,offering bad advice,pulling pranks
Dylan,Sprouse,44328618,DS,solving crimes,standing up to bullies,fighting for justice,frowning at errant husbands,starting thunderstorms,pioneering new technologies,promoting liberal values,promoting mysticism,running a criminal enterprise,cooking for friends
Yehudi,Menuhin,87862572,DS,studying science,being a good neighbor,flipping hamburgers,organizing armed robberies,stealing hamburgers,fighting for justice,reading minds,giving noogies,treating diseases,rescuing damsels in distress
John,Forsythe,40257652,CS,shouting in Hollywood movies,painting abstract pictures,starring in romantic comedies,singing pop songs,promoting racial harmony,moaning about men,over-acting,playing classical piano,painting self-portraits,making fantasy movies
Tim,Burton,95188410,CS,changing privacy settings,starring in Hollywood movies,peacocking in fancy clothes,enriching uranium,writing romantic poetry,teaching philosophy to future leaders,writing historical fiction,starring in madcap comedies,playing everyman characters,running a crime family
Vanessa,Carlton,77049472,CS,promoting capitalism,planning tank battles,directing Hollywood movies,singing rock songs,running a crime family,selling cosmetics,pioneering new technologies,starring in madcap comedies,eating the inedible,selling illegal alcohol
Joel,Grey,90788720,CS,writing about manly pursuits,campaigning for the presidency,healing the sick,smoking Boyard cigarettes,whining at umpires,delivering forehand slams,coining sparkling witticisms,reading braille,moaning about men,over-acting
Edward,Woodward,62453669,CS,singing pop songs,making action movies,reporting the news,starring in Hollywood movies,running a crime family,composing classical music,playing classical piano,promoting liberalism,appeasing belligerent dictators,selling cosmetics
Cindy,Crawford,77886138,DS,making patronising comments,mangling idioms,waiting for a hero,organizing armed robberies,complaining about life,fighting in gladiator arenas,defending the weak,solving mysteries,pulling pranks,going bowling
Eileen,Brennan,35056694,DS,foiling the schemes of evil villains,ranting about conservatives,frowning at errant husbands,pulling capers,buying on credit,hunting demons,running an empire,promoting mysticism,pioneering new technologies,developing new technologies
Bobby,Orr,69559303,CS,promoting Catholic values,writing about manly pursuits,writing pop songs,watching TV,running a multinational corporation,knocking out opponents,starring in TV shows,composing classical music,making fantasy movies,singing rock songs
Frank,Oz,71954031,DS,handing out flowers,smoking cigars,solving crimes,defending the weak,cooking the books,flipping hamburgers,hacking into computers,performing magic tricks,giving noogies,playing poker badly
Lenny,Bruce,49961683,DS,disappointing suitors,fighting for the rebel alliance,belching,fighting with swords,promoting mysticism,planning adultery,interviewing politicians,foiling the schemes of evil villains,causing mayhem,tempting fate
Sir,Elgar,46968032,CS,currying favour,healing the sick,shouting in Hollywood movies,winning boxing matches,bridging cultures,singing the blues,making madcap comedies,campaigning for social causes,starring in Hollywood movies,bridging cultures
Carl,Lewis,91920727,CS,watching TV,singing pop songs,running a crime family,promoting racial harmony,getting plastic surgery,writing Hollywood movies,selling illegal alcohol,singing blues songs,telling zany jokes,smoking Boyard cigarettes
Michael,York,74358851,DS,forging art,being a good neighbor,promoting mysticism,appreciating vintage collectibles,interpreting evidence,rescuing damsels in distress,seeking revenge,standing up to bullies,running a criminal enterprise,running a hotel
David,Byrne,62985713,CS,reading braille,bridging cultures,currying favour,pedalling furiously,playing classical piano,interviewing politicians,escaping from water tanks,reporting the news,smoking Boyard cigarettes,pioneering new technologies
Tommy,Tune,30094330,CS,knocking out opponents,playing classical piano,promoting Eastern philosophy,planning tank battles,running for the presidency,starring in Hollywood movies,interviewing politicians,singing rock songs,ruling over subjects,bridging cultures
Jawaharlal,Nehru,53469469,DS,promoting mysticism,plotting against family members,running a hotel,interviewing politicians,fighting with swords,keeping accounts,preparing for war,playing pranks,buying on credit,causing mayhem
Humphrey,Bogart,95087004,DS,chasing flappers,running an empire,spying on girls,teaching magic,fighting for the rebel alliance,giving noogies,studying magic tricks,treating diseases,devising evil schemes,studying icons
Itzhak,Perlman,29241734,DS,appearing in infomercials,solving mysteries,chasing flappers,making action movies,pioneering new technologies,playing poker badly,frowning at errant husbands,buying on credit,going on commando missions,belching
Jimmy,Carter,87255306,CS,bridging cultures,winning battles,bridging cultures,developing military strategies,pedalling furiously,starring in Hollywood movies,starring in pornographic movies,singing the blues,ranting about liberals,running an empire
Kate,Hudson,19494675,DS,hunting demons,chasing flappers,studying icons,going bowling,stealing hamburgers,developing new technologies,studying science,interviewing politicians,seeking revenge,cheating at golf
Bill,Clinton,68336681,DS,carrying secret plans,flipping hamburgers,hunting demons,solving mysteries,mangling idioms,running an empire,preparing for war,fighting with swords,promoting mysticism,cheating at golf
Otto,Klemperer,41929278,CS,campaigning for the presidency,having meltdowns in public,directing the business of state,popping Viagra,ranting about liberals,running a new-age website,starring in Hollywood movies,hunting raccoons,making action movies,teaching philosophy to future leaders
Martin,Milner,61050338,CS,writing blues songs,over-acting,moaning about men,chasing interns,writing modern fiction,playing everyman characters,running a crime family,promoting pacifism,campaigning for the presidency,leaking state secrets
Elke,Sommer,58731460,CS,starring in action movies,singing pop songs,running an empire,pioneering new technologies,playing baseball,playing drums,working out,pioneering new technologies,writing pop songs,running gentleman's clubs
Joseph,Cotten,76055244,DS,impersonating women,cooking for friends,standing up to bullies,making sarcastic remarks,starting thunderstorms,seeking revenge,running a clandestine spy organization,fighting with swords,fighting decepticons,pulling capers
Amerigo,Vespucci,76884700,CS,giving speeches,starring in romantic comedies,singing pop songs,fomenting social revolution,hiding from the public,making madcap comedies,campaigning for the presidency,fighting for civil rights,modeling DNA,running an empire
