First Name,Last Name,ID,Stream,Preference 1,Preference 2,Preference 3,Preference 4,Preference 5,Preference 6,Preference 7,Preference 8,Preference 9,Preference 10
Emilio,Estevez,70197245,CS,starring in action movies,worrying about health,selling consumer goods,peacocking in fancy clothes,puncturing artistic sensibilities,writing erotic fiction,starring in action movies,making dumb comedies,leading an exodus,struggling with modern times
Christine,Lahti,50772971,CS,starring in action movies,campaigning for environmental causes,singing jazz songs,singing blues songs,interviewing politicians,running a dictatorship,promoting world peace,chasing after women,writing modern poetry,peacocking in fancy clothes
Nomar,Garciapara,68409906,CS,seducing women,selling tickets,studying mathematics,singing pop songs,promoting socialism,singing torch songs,wielding political power,singing Hipbop songs,spreading philosophy,promoting feminism
Kenny,Chesney,26652238,DS,singing on TV shows,smiting frost giants,interpreting evidence,hunting monsters,striving for world domination,exploring darkest Africa,worrying about adultery,providing comic relief,escaping from reality,planning adultery
Samuel,Morse,41926269,DS,running a criminal empire,running a crime family,selling tat,retiring replicants,currying favour,pushing the hardline,buying on credit,offering blessings,seeking revenge,prowling for dinner
Stephen,Sondheim,68992400,CS,playing the saxophone,testing scientific theories,running a bureaucracy,promoting pacifism,developing cunning plans,running a business empire,proving math theorems,suing large corporations,revolutionizing physics,singing pop songs
William,Shakespear,18510464,DS,seeking revenge,running a crime family,pushing shoddy merchandise,manipulating political pawns,devising evil schemes,standing up to bullies,seducing young women,laughing at God,solving mysteries,striving for world domination
Cesar,Chavez,62264854,CS,starring in Hollywood movies,writing romantic fiction,interviewing politicians,making threatening phone calls,ranting about politics,fighting with swords,performing magic tricks,cracking enemy codes,causing political scandals,promoting Catholic values
Gahan,Wilson,45946390,CS,ranting about liberals,probing the mind,telling politicians what to do,promoting conservative values,painting over photographs,writing for pulp magazines,extracting confessions,starring in Hollywood movies,starring in action movies,cooking fancy food
Joseph,Campanella,84614952,CS,teaching philosophy,making threatening phone calls,leading an exodus,bridging cultures,spreading philosophy,singing pop songs,starring in Hollywood movies,starring in Hollywood movies,writing folksy fiction,treating the sick with jokes
Emily,Dickinson,45654873,CS,sucking roots,promoting conservative values,promoting monetarism,hosting radio shows,writing Russian novels,playing aggressive chess,developing cunning plans,writing pop songs,interviewing politicians,writing pop songs
Willard,Scott,58616403,CS,arguing against capitalism,making movies,assassinating presidents,singing pop songs,promoting conservative values,promoting new technologies,composing classical music,singing pop songs,campaigning for social causes,telling dry jokes
Clive,Cussler,72534785,DS,running a crime family,hacking into corporate mainframes,foiling the schemes of evil villains,frowning at errant husbands,commanding a spaceship,disappointing the family,pushing shoddy merchandise,performing magic tricks,fighting in duels,starting thunderstorms
Johnny,Carson,74458972,DS,preaching tolerance,wooing potential brides,prowling for dinner,hosting radio shows,commanding a spaceship,solving mysteries,running a crime family,chasing a great white whale,playing rock music,promoting wickedness
Laraine,Newman,84055417,DS,frying crabby patties,eluding imperial storm-troopers,collecting pirate booty,posing as a street thug,meddling in the dark arts,appearing in infomercials,worrying about life,burning the wicked,rooting out moles,promoting hair products
Kanye,West,32219499,DS,teaching the next generation,running an empire,eluding the FBI,running a kingdom,pioneering new technologies,wooing potential brides,running an empire,playing the saxophone,promoting conservative values,currying favour
John,Denver,96790256,CS,starring in Hollywood movies,composing classical music,playing the organ,starring in Hollywood movies,entertaining teenagers,making fantasy movies,starring in Hollywood movies,studying economics,making new wave movies,seducing women
Dr.,Phil,21236173,CS,instigating rebellion,singing Hipbop songs,writing for the New Yorker,chasing after women,campaigning for social causes,designing modern buildings,writing legal fiction,campaigning for social causes,promoting democracy,promoting Catholic values
Jean-Paul,Belmondo,17120064,CS,promoting conservative values,promoting circus attractions,throwing sex parties,writing TV comedies,ranting about liberals,divorcing husbands,directing the business of state,studying mathematics,Research Activity,starring in comedies
Mike,Modano,96834296,DS,solving mysteries,reading the news,seducing young women,striving for world domination,solving mysteries,solving riddles,running an empire,studying science,promoting wickedness,finding clues
John,Coltrane,14577142,CS,riding a bicycle,lying on the stand,shilling for rental car companies,defining words,making maverick choices,ranting about liberals,raising new-age children,waxing a surfboard,performing serious acting,campaigning for the presidency
Phill,Lewis,83865766,CS,making mediocre movies,making unauthorized sex tapes,winning tennis matches,running a software company,writing Russian novels,fighting for civil rights,collecting fossils,singing rock songs,playing rock music,peacocking in fancy clothes
Syd,Barrett,56435704,CS,recording history,making maverick choices,performing Web searches,making bizarre movies,playing the organ,bridging cultures,singing pop songs,ranting about politics,going slowly mad,singing pop songs
Jack,White,29127803,DS,organizing armed robberies,retiring replicants,currying favour,running a crime family,offering blessings,studying science,eating donuts,falling gracefully,seducing toy boys,writing up case notes
Donald,Trump,99385658,CS,starring in Hollywood movies,seducing women,running a large metropolitan city,starring in romantic comedies,spreading political gossip,developing real estate,performing Web searches,throwing sex parties,inventing superheroes,running a multinational corporation
Francis,Bacon,89430400,CS,foiling the schemes of evil villains,pretending to wrestle,singing pop songs,building empires,seducing kings,flaunting buttocks,painting realistic pictures,starring in comedies,running a kingdom,building a search engine
Georges,Pompidou,67438526,CS,smiting Philistines,singing pop songs,playing the organ,starring in comedies,promoting science,spreading political gossip,creating an axis of evil,winning tennis grand slams,recording history,promoting liberalism
Queen,Elizabeth,85174548,DS,hacking into corporate mainframes,climbing social ladders,cooking for friends,going senile,sucking blood,posing as a street thug,terrorizing employees,reading the news,fighting for the rebel alliance,swinging from tree to tree
Vic,Tayback,73961618,DS,spouting movie trivia,over-achieving at school,performing magic tricks,promoting science,solving crimes,playing quidditch,giving to the poor,selling tat,giving noogies,frying crabby patties
Lawrence,Taylor,18208443,CS,breaking records,singing jazz songs,singing pop songs,starring in action movies,doing stand-up,writing serialized stories,studying economics,marrying underage girls,hosting a late night chat show,singing pop songs
James,Daughton,53635023,CS,writing modern fiction,ranting about liberals,pushing haute couture,making mediocre movies,smoking Boyard cigarettes,promoting world peace,starring in romantic comedies,starring in Hollywood movies,writing cook books,promoting humanism
Marvin,Hamlisch,53841791,DS,defending the weak,collecting pirate booty,singing goofy songs,foiling the schemes of evil villains,promoting wickedness,running a crime family,saying grace,making patronising comments,currying favour,striving for world domination
Bert,Parks,68412532,DS,chasing criminals,buying on credit,flipping hamburgers,solving mysteries,solving mysteries,reporting for The Daily Planet,studying magic tricks,trimming bushes,building an army,swinging from tree to tree
Super,Man,16791079,CS,running a religious cult,singing torch songs,changing privacy settings,licking frogs,starring in Hollywood movies,assassinating presidents,promoting Catholic values,mangling idioms,starring in sit-coms,starring in romantic comedies
Audrina,Patridge,24132869,DS,giving to the poor,exploring darkest Africa,squandering money,handing out flowers,eluding the FBI,fighting with swords,providing comic relief,attending cotillion balls,repairing shoes,arranging dinner parties
Tippi,Hedren,73645367,DS,solving mysteries,solving mysteries,selling tat,plotting against family members,playing rock music,burning the wicked,handing out flowers,chasing terrorists,devising evil schemes,solving mysteries
Marcel,Marceau,77817214,DS,climbing social ladders,practicing the Occult,solving mysteries,arranging dinner parties,appearing in infomercials,eating dinosaur ribs,solving riddles,reporting for The Daily Planet,playing quidditch,swinging on a perch
Jude,Law,78636581,DS,finding clues,teaching martial arts,organizing armed robberies,starring in action movies,reporting for The Daily Planet,repairing shoes,solving mysteries,running an empire,selling tat,phoning home
J.D.,Salinger,89471755,DS,trimming bushes,solving crimes,rooting out spies,frowning at errant husbands,posing riddles,preaching tolerance,worrying about adultery,exploring darkest Africa,gossiping with galpals,solving riddles
Osama,Bin-Laden,42882727,DS,seducing young women,spying on girls,solving crimes,finding clues,communicating with animals,gossiping with galpals,repairing shoes,posing riddles,exploring darkest Africa,teaching martial arts
Joe,Perry,31323837,DS,obsessively washing hands,running a criminal empire,pioneering new technologies,communicating with animals,offering blessings,concocting magic potions,defending the weak,rooting out spies,sucking blood,preparing for war
Robin,Gibb,64790783,CS,playing tough guys,playing basketball,singing pop songs,spreading revolution,scandalizing polite society,changing privacy settings,giving speeches,promoting new wars,doing stand-up,writing pop songs
Millard,Fillmore,81759432,CS,designing clothes,starring in comedies,running a multinational corporation,ruling over subjects,promoting socialism,studying science,campaigning for the presidency,writing modern fiction,making witty remarks,teaching philosophy
Richard,Thomas,76621796,DS,running a clandestine spy organization,preparing for war,pushing the hardline,defending the weak,disappointing the family,retiring replicants,defending the Earth,evading mercenaries,solving mysteries,smiting frost giants
Van,Parks,18943567,CS,keeping a diary,spreading revolution,winning tennis grand slams,studying genetics,starring in sit-coms,campaigning for the presidency,pretending to wrestle,sucking roots,starring in action movies,fighting with the mob
Piers,Morgan,32134510,CS,winning tennis tournaments,starring in Hollywood movies,doing stand-up,making kitsch,writing pop songs,singing middle-of-the-road songs,organizing mass suicides,fighting for democracy,promoting conservative values,shilling for rental car companies
Divine,,48592742,CS,assassinating presidents,finding clues,composing classical music,starring in sit-coms,teaching philosophy,studying economics,cursing at kitchen staff,singing pop songs,riding a bicycle,promoting new wars
Paul,Verhoeven,98083484,DS,eluding the FBI,executing morally appalling plans,providing comic relief,running an empire,solving mysteries,foiling the schemes of evil villains,repairing shoes,interpreting evidence,worrying about adultery,solving mysteries
Fran,Dresher,22484562,CS,singing pop songs,studying economics,singing pop songs,fighting for democracy,marrying underage girls,composing classical music,writing serialized stories,promoting pacifism,playing grungy music,writing purple prose
Carla,Bruni,65525412,CS,conducting illicit affairs,cracking enemy codes,winning gold medals,singing middle-of-the-road songs,writing science fiction,running a business empire,writing for the New Yorker,promoting conservative values,running an empire,writing Russian novels
Rudy,Vallee,16874730,CS,making fantasy movies,changing privacy settings,fighting for civil rights,fighting for democracy,testing new technologies,writing legal fiction,ranting about liberals,fighting for democracy,writing about social problems,singing torch songs
Jay,Z,77561851,CS,singing pop songs,interviewing politicians,singing pop songs,doing stand-up,flaunting buttocks,making kitsch,composing classical music,running a kingdom,making cars,fighting with the mob
Vidal,Sassoon,28440885,DS,complaining about everything,tracking down criminals,ranting about minorities,building an army,studying science,devising evil schemes,prowling for dinner,chasing terrorists,teaching Defence Against the Dark Arts,starting thunderstorms
Giuseppe,Verdi,74011578,CS,throwing sex parties,doing stand-up,insulting minorities,bodybuilding,running film festivals,making witty remarks,recording history,writing modern poetry,making dumb comedies,running a kingdom
Landon,Donovan,93171764,DS,pioneering new technologies,building an army,running a clandestine spy organization,getting a nose job,practicing good skin care,running an empire,causing mayhem,standing up to bullies,nurturing sibling rivalry,tracking down criminals
F.,Bailey,65912006,DS,teaching Defence Against the Dark Arts,fighting for the rebel alliance,building rocket ships,solving crimes,frowning at errant husbands,swinging on a perch,running a crime family,practicing good skin care,promoting mysticism,creating nightmares
Alan,Autry,46363557,CS,singing blues songs,exploring the new world,spreading philosophy,doing stand-up,ranting about politics,cracking enemy codes,ranting about liberals,running an empire,composing classical music,designing clothes
Richard,Wright,73076842,CS,starring in Hollywood movies,singing Hipbop songs,holding evasive press conferences,inventing superheroes,promoting liberalism,playing rock music,signing sports memorabilia,working out,flirting with rednecks,writing political satires
Rob,Dam,33360779,DS,hunting monsters,playing quidditch,plotting against family members,practicing the Occult,fighting guerilla wars,solving crimes,buying on credit,promoting science,singing bawdy songs,pushing the hardline
Ruud,Nistelrooy,42348578,CS,singing pop songs,fighting for democracy,shopping for shoes,performing magic tricks,starring in comedies,starring in Hollywood movies,starring in romantic comedies,playing the piano,forming new social connections,writing modern fiction
Tempestt,Bledsoe,73335843,DS,prowling for dinner,seducing toy boys,foiling the schemes of evil villains,smiting frost giants,tracking down criminals,concocting magic potions,dreaming the day away,mangling idioms,guarding the galaxy,terrorizing employees
Alicia,Keys,81275858,CS,having meltdowns in public,developing open-source software,writing rap songs,smiting Philistines,writing modern fiction,throwing sex parties,teaching philosophy,playing the organ,test-driving cars,running a multinational corporation
Fabian,,39509983,DS,singing goofy songs,fighting for justice,chasing a great white whale,starring in action movies,worrying about life,solving crimes,commanding a spaceship,analyzing intelligence data,studying science,wooing potential brides
Tiger,Woods,37058927,CS,designing clothes,singing pop songs,organizing mass suicides,racing fast cars,defining words,writing pop songs,writing science fiction,ranting about politics,writing Russian novels,promoting conservative values
Nicolas,Sarkozy,60844405,CS,coining epigrams,cursing at kitchen staff,slashing victims,starring in comedies,writing for pulp magazines,writing detective fiction,having meltdowns in public,over-acting,designing modern buildings,teaching the next generation
Joseph,Pulitzer,54110478,DS,over-achieving at school,running a software company,foiling the schemes of evil villains,solving mysteries,interpreting evidence,defending the weak,handing out flowers,striving for world domination,fishing for shrimps,pedalling engine-less cars
Isaac,Hayes,31826734,CS,ruling over subjects,singing pop songs,singing Hipbop songs,testing new technologies,arresting criminals,promoting Darwinism,singing jazz songs,recording history,assassinating presidents,starring in Hollywood movies
Joe,Namath,66728498,CS,running a kingdom,promoting circus attractions,pushing haute couture,reporting the news,promoting conservative values,winning gold medals,writing experimental songs,riding a bicycle,having meltdowns in public,writing legal fiction
Ann,Miller,76382184,CS,womanizing,promoting Darwinism,fighting for democracy,composing classical music,worrying about health,running a software company,singing pop songs,mangling idioms,promoting pacifism,eating exotic foods
Mata,Hari,41343977,DS,fighting the resistance,wooing potential brides,cooking for friends,climbing social ladders,solving crimes,eluding the FBI,defending the weak,running a crime family,preaching tolerance,practicing good skin care
Houdini,,21343823,CS,singing rock songs,peacocking in fancy clothes,causing political scandals,spreading political gossip,singing country music,managing hedge funds,pushing haute couture,making new wave movies,performing household chores,riding a bicycle
Dave,Brubeck,94186819,DS,making documentaries,plotting against family members,studying science,smiting frost giants,starring in action movies,telling tall tales,reporting for The Daily Planet,fishing for shrimps,making condescending remarks,running a crime family
Kate,Jackson,54351188,CS,studying economics,eliminating political rivals,writing pop songs,starring in pornographic movies,promoting conservative values,womanizing,revolutionizing physics,singing jazz songs,cooking dinners,promoting monetarism
Patrick,Henry,43174975,CS,selling tickets,eating the inedible,winning Oscars,winning Michelin stars,wielding political power,cross-dressing in women's clothes,pioneering new technologies,promoting science,starring in Hollywood movies,testing new technologies
Ashley,Simpson,63858505,CS,writing modern poetry,writing serialized stories,exploring the new world,making dumb comedies,singing pop songs,starring in romantic comedies,singing pop songs,doing stand-up,cooking dinners,running an empire
Thomas,Gainsborough,14908128,CS,promoting monetarism,painting melancholy pictures,starring in TV shows,singing pop songs,instigating rebellion,starring in Hollywood movies,writing modern fiction,crushing dissent,interviewing politicians,consolidating an empire
Fred,Rogers,30274733,DS,analyzing murder scenes,rooting out spies,selling dodgy goods,seeking revenge,promoting hair products,preaching tolerance,playing the piano,solving mysteries,running a crime family,creating nightmares
Eric,Bana,59319713,CS,studying genetics,making bizarre movies,playing basketball,making new wave movies,ranting about liberals,building giant walls,wielding political power,writing for the New Yorker,running a software company,campaigning for social causes
Junior,Seau,20683796,CS,playing the organ,starring in comedies,developing real estate,running an empire,extracting confessions,eating the inedible,fighting for civil rights,writing modern fiction,spreading political gossip,promoting science
Ben,Hogan,47467951,CS,running a multinational corporation,painting church ceilings,composing classical music,marrying underage girls,playing rock guitar,running a religious cult,designing clothes,cross-dressing in women's clothes,promoting conservative values,womanizing
Martin,Brodeur,14183853,CS,singing to teenagers,composing classical music,bodybuilding,testing scientific theories,promoting conservative values,developing open-source software,playing the organ,playing jazz saxophone,trading in wives,promoting circus attractions
William,Wellman,17147994,DS,interviewing celebrities,frying crabby patties,disappointing the family,causing mayhem,fishing for shrimps,chasing criminals,worrying about adultery,solving crimes,hunting monsters,singing bawdy songs
Steve,Irwin,58420495,CS,making witty remarks,singing pop songs,singing pop songs,starring in comedies,making political gaffes,Research Activity,posing for photographs,writing science fiction,promoting socialism,promoting new technologies
Army,Archerd,13965669,DS,promoting the Dark Side,pioneering new technologies,collecting pirate booty,frowning at errant husbands,selling dodgy goods,complaining about everything,solving mysteries,terrorizing employees,promoting science,buying on credit
Brad,Nowell,34813493,CS,planning tank battles,winning tennis matches,womanizing,telling politicians what to do,fighting for democracy,peacocking in fancy clothes,starring in Hollywood movies,writing cook books,making movies,building a search engine
Elizabeth,Seton,61993335,CS,promoting conservative values,leading an exodus,winning heavyweight titles,forming new social connections,starring in Hollywood movies,starring in indy movies,cooking fancy food,interviewing politicians,telling politicians what to do,writing poetry
Tammy,Bakker,99543047,DS,climbing social ladders,foiling the schemes of evil villains,reporting for The Daily Planet,investigating alien abductions,analyzing intelligence data,finding clues,eating dinosaur ribs,meddling in the dark arts,worrying about life,running a crime family
