First Name,Last Name,ID,Stream,Preference 1,Preference 2,Preference 3,Preference 4,Preference 5,Preference 6,Preference 7,Preference 8,Preference 9,Preference 10
Felicity,Huffman,51198060,CS,collecting fossils,signing sports memorabilia,playing the violin,defending the weak,running a criminal enterprise,winning heavyweight titles,singing pop songs,gyrating hips,starring in Hollywood movies,making dunk shots
Jawaharlal,Nehru,45516093,DS,running a criminal enterprise,solving mysteries,fighting the forces of good,devising evil schemes,surviving in the 25th century,finding clues,causing mayhem,running a criminal enterprise,flaunting foppish fashions,providing comic relief
Chris,Elliott,57557209,CS,waxing a surfboard,selling consumer goods,playing guitar,promoting conservative values,starring in comedies,campaigning for social causes,collecting rock samples,launching foreign wars,defending the weak,running a media empire
David,Letterman,33421865,CS,promoting conservative values,making dunk shots,interviewing politicians,leading armies into battle,issuing threats,doing stand-up,fighting for democracy,selling consumer goods,singing Hipbop songs,gyrating hips
Nate,Newton,55797189,CS,fighting for democracy,promoting Catholic values,promoting humanism,singing Hipbop songs,winning swimming competitions,collecting fossils,hiding from the public,singing pop songs,cozying up to conservatives,keeping a diary
Sigmund,Freud,58087808,CS,organizing mass suicides,promoting Catholic values,running races,drawing whimsical cartoons,drawing whimsical cartoons,composing classical music,starring in comedies,writing comedy,studying mathematics,painting melancholy pictures
Jane,Seymore,72943026,DS,causing mayhem,avoiding growing old,solving crimes,disposing of unwanted jewelry,interviewing celebrities,causing mayhem,practicing the Occult,commanding a whaling ship,running a criminal enterprise,doing the Charleston
Dennis,Weaver,69219238,CS,running races,publishing newspapers,fighting for democracy,divorcing husbands,winning swimming competitions,leading armies into battle,singing punk rock songs,starring in Hollywood movies,singing pop songs,interviewing politicians
Mike,Schmidt,58331060,DS,disposing of unwanted jewelry,impersonating women,interviewing celebrities,obeying annoying rules,solving mysteries,running a software company,running a criminal enterprise,promoting tolerance,spying on girls,hunting aliens
Betty,Ford,30084498,CS,winning heavyweight titles,waxing a surfboard,doing diet commercials,promoting conservative values,singing punk rock songs,studying mathematics,fighting for democracy,interviewing politicians,winning swimming competitions,making dumb comedies
Tom,Leykis,20841046,DS,guarding the galaxy,making silly decisions,surviving in the 25th century,kicking ass,making sarcastic remarks,running an empire,hosting anodyne game shows,interviewing politicians,providing comic relief,running a criminal enterprise
Barbara,Hutton,10670462,CS,drawing whimsical cartoons,launching foreign wars,singing Hipbop songs,promoting conservative values,bridging cultures,making dumb comedies,singing punk rock songs,changing sides,leading armies into battle,writing on wax tablets
Marc,Summers,79092605,DS,running a criminal enterprise,climbing social ladders,devising evil schemes,solving mysteries,fighting barbarian hordes,spying on girls,looking for immortality,providing comic relief,disposing of unwanted jewelry,causing mayhem
W.C.,Fields,48621319,CS,drawing whimsical cartoons,cozying up to conservatives,writing pop songs,writing comedy,writing on wax tablets,collecting fossils,raising new-age children,starring in madcap comedies,promoting humanism,starring in Hollywood movies
Samuel,Beckett,74937105,DS,solving crimes,running a hotel,waiting for a hero,running a software company,saving money,obeying annoying rules,disposing of unwanted jewelry,plotting election strategies,avoiding growing old,climbing social ladders
Haley,Osment,46694377,DS,finding clues,reporting the news,worrying about adultery,saving money,writing comedy,climbing social ladders,providing comic relief,running a criminal enterprise,causing mayhem,kicking ass
Felicity,Huffman,83409870,CS,studying mathematics,starring in Hollywood movies,doing stand-up,doing diet commercials,organizing mass suicides,pushing dodgy operating systems,treating the injured,running races,changing sides,selling cheap airline seats
Gordon,Jump,90690229,CS,singing pop songs,bridging cultures,cozying up to conservatives,drawing whimsical cartoons,starring in madcap comedies,hosting reality TV shows,promoting Catholic values,gyrating hips,collecting rock samples,causing political scandals
Ed,Oneill,99440490,CS,promoting humanism,selling cheap airline seats,organizing mass suicides,hosting reality TV shows,pushing dodgy operating systems,singing Hipbop songs,running a media empire,winning heavyweight titles,playing guitar,ruling over subjects
Jonas,Salk,63280553,DS,running a hotel,writing comedy,avoiding retirement,disposing of unwanted jewelry,providing comic relief,striving for world domination,hosting anodyne game shows,running a software company,avoiding growing old,running a criminal enterprise
Seiji,Ozawa,20242256,CS,fighting for democracy,signing sports memorabilia,collecting rock samples,promoting conservative values,singing opera arias,studying mathematics,making dunk shots,playing the violin,fighting for civil rights,causing political scandals
Barbara,Bach,14553267,DS,fighting barbarian hordes,fighting the forces of good,running a criminal empire,hosting anodyne game shows,promoting tolerance,saving money,impersonating women,commanding a whaling ship,doing the Charleston,solving crimes
Eva,Gabor,93951485,CS,issuing threats,causing political scandals,doing stand-up,selling consumer goods,promoting communism,promoting evolutionary theory,playing guitar,running a criminal enterprise,cozying up to conservatives,studying mathematics
Joseph,Pulitzer,18346690,DS,running a criminal enterprise,interpreting evidence,finding clues,fighting the forces of good,spying on girls,hosting anodyne game shows,developing cunning plans,practicing the Occult,surviving in the 25th century,running a criminal empire
Jerry,Rice,21093167,DS,causing mayhem,running a hotel,promoting tolerance,devising evil schemes,providing comic relief,causing mayhem,avoiding growing old,watching MacGyver reruns,flaunting foppish fashions,solving crimes
Charles,Luciano,26050182,DS,reporting the news,hosting anodyne game shows,obeying annoying rules,providing comic relief,making sarcastic remarks,cooking for friends,flaunting foppish fashions,finding clues,making silly decisions,developing cunning plans
Cloris,Leachman,34544185,DS,flaunting foppish fashions,interviewing celebrities,spying on girls,interviewing celebrities,running a hotel,fighting barbarian hordes,writing comedy,saving money,causing mayhem,hiding from the public
Mel,Brooks,78131187,DS,plotting election strategies,running a criminal enterprise,running a hotel,flaunting foppish fashions,interviewing celebrities,hunting aliens,finding clues,obeying annoying rules,writing comedy,running an empire
Peter,Tork,65706493,CS,making dunk shots,promoting humanism,singing Hipbop songs,divorcing husbands,organizing mass suicides,campaigning for the presidency,writing comedy,selling consumer goods,writing on wax tablets,treating the injured
