Staff Name,Research Activity,Stream,Preferred Probability
Sergey Brin,performing Web searches,CS+DS,0.2049322596616056
Edward Scissorhands,making topiary sculptures,DS,0.3859871082797739
Tony Soprano,running a crime family,DS,0.3988961242486908
Larry Page,running a tech giant,CS,0.2813926796599709
Ned Flanders,promoting conservative values,DS,0.263245872291209
Jeff Koons,selling modern art,CS,0.3989030778003225
Erik "Magneto" Lehnsherr,devising evil schemes,DS,0.39087926155954306
Muhammad Ali,winning boxing matches,CS+DS,0.2436718752850633
Allan Quatermain,exploring darkest Africa,DS,0.3844365437357158
Bugs Bunny,eluding hunters,DS,0.3951839165232153
Noam Chomsky,studying linguistics,CS,0.24868976449670144
Roseanne Barr,ranting about liberals,CS,0.37430885617269655
Silvio Berlusconi,throwing Bunga Bunga parties,CS+DS,0.2942793147005676
Boba Fett,collecting bounties on runaways,DS,0.23578967303120585
John Grisham,writing legal fiction,CS+DS,0.39835916709790875
Inspector Gadget,using gadgets,DS,0.3981896872294837
Ophelia,handing out flowers,DS,0.3103419410321724
Cary Grant,starring in romantic comedies,CS,0.3512901988806937
El Chappo,running a smuggling business,CS+DS,0.38780279580865723
Leonardo DiCaprio,starring in Hollywood movies,CS+DS,0.08086015942898396
Oscar Pistorius,competing in the Olympics,CS,0.35437583716561294
Boris Johnson,ranting about liberals,CS,0.23020863299817484
Madonna,singing pop songs,CS,0.37432192620186716
Ferdinand Magellan,searching for a new world,CS,0.26697566106695036
Oprah Winfrey,running a media empire,CS,0.3885889774344612
Leonardo Da Vinci,pioneering new technologies,CS,0.21222905958018598
Polonius,offering bad advice,DS,0.2673670381491626
Tiger Woods,winning golf tournaments,CS+DS,0.3784439139508909
Frank Columbo,pursuing criminals,DS,0.05380328360816145
Voltaire,promoting liberal values,CS+DS,0.3931015895131362
Russell Brand,fomenting social revolution,CS,0.3986576118551899
Sammy Davis Jr.,writing pop songs,CS,0.39277383401815397
John McEnroe,whining at umpires,CS,0.2502411293689629
Boudicca,instigating rebellion,CS+DS,0.38523972577893745
Ralph Nader,campaigning for consumer rights,CS,0.353701324803954
Dr. Dre,writing rap songs,CS,0.11521154789674047
Billy Crystal,doing stand-up,CS+DS,0.3969989836540498
Jerry Springer,hosting reality TV shows,CS,0.2685710529845856
Niles Crane,nurturing sibling rivalry,DS,0.2269627964222199
Walt Whitman,writing modern poetry,CS,0.1417662944588567
Katniss Everdeen,fighting for justice,DS,0.2690398268311105
Joe Louis,winning heavyweight titles,CS,0.18503792853775575
Scipio Africanus,winning battles,CS+DS,0.28403893851971856
Serena Williams,delivering forehand slams,CS+DS,0.13699828643074577
Christiane Amanpour,interviewing celebrities,CS+DS,0.352946019998007
John Belushi,starring in madcap comedies,CS+DS,0.038941335333011126
Violet Baudelaire,pioneering new technologies,DS,0.32738853763407083
Norman Bates,slashing victims,DS,0.39698586070185865
Jack Sparrow,collecting pirate booty,DS,0.23668982999953644
Daffy Duck,chasing rabbits,DS,0.019412410433203436
Paris Hilton,making unauthorized sex tapes,CS,0.3541965678778037
Barney Gumble,burping,DS,0.11626782759422682
George Smiley,rooting out moles,DS,0.28120402625209046
Robert Langdon,following clues,DS,0.2827521641496976
Sherlock Holmes,finding clues,DS,0.23995930179640604
Gloria Steinem,moaning about men,CS,0.23451612632429253
Martin Luther King,fighting for civil rights,CS,0.32871896158409103
Voltaire,writing novels,CS+DS,0.37540753270122246
Leonardo Da Vinci,painting realistic pictures,CS,0.273773966406596
Gloria Steinem,promoting feminism,CS,0.2719916458092668
Becky Sharp,climbing social ladders,DS,0.2560947968439206
Jesus Christ,curing lepers,CS+DS,0.39489340230334824
Stewie Griffin,developing new technologies,DS,0.3298382020395411
Carl Lewis,competing in athletic events,CS+DS,0.37600938072622986
Samwise Gamgee,tending the garden,DS,0.369473171710327
Don Quixote,tilting at windmills,DS,0.3967152707975443
Sean Connery,starring in Hollywood movies,CS+DS,0.31641368050845464
Ricky Martin,enjoying salsa dancing,CS+DS,0.2691183161578213
Reince Priebus,promoting conservative values,CS,0.3965110149349919
Tom Cruise,starring in Hollywood movies,CS+DS,0.37419938028470767
Optimus Prime,fighting decepticons,DS,0.11899938844884018
Bradley Manning,leaking classified documents,CS,0.16333817333799266
Christian Grey,womanizing,DS,0.3013300963933139
Count Dracula,chasing virgins,DS,0.39800756286932987
Mr. Krabs,running a fast-food business,DS,0.3989205700431719
Martin Luther King,promoting racial harmony,CS,0.3950277076468214
Beetlejuice,practicing the Occult,DS,0.1836967057113465
Merlin,casting magic spells,DS,0.381714426590621
George Harrison,playing guitar,CS,0.10624161127111904
Elvis Presley,starring in romantic comedies,CS+DS,0.398837253641099
Marty McFly,playing rock music,DS,0.15464001021010165
Tracy Jordan,starring in Hollywood movies,DS,0.35673164489866166
Leonard Hofstadter,promoting science,DS,0.3567973621163021
Gwyneth Paltrow,running a new-age website,CS,0.12845099607735372
John McCain,making maverick choices,CS,0.283906151750352
George Soros,making billions,CS,0.3433171270280014
Michael Bay,entertaining teenagers,CS,0.39639372843467957
James Bond,shagging spies,DS,0.39836096351218836
John Constantine,practicing the Occult,DS,0.3932245439823542
Bill Murray,telling dry jokes,CS,0.17147381929405553
Rupert Murdoch,telling politicians what to do,CS+DS,0.37347308350834035
Jackson Pollock,dripping paint onto canvas,CS+DS,0.39610513411386605
Merlin,performing magic tricks,DS,0.37409811418391936
Giacomo Casanova,chasing after women,CS+DS,0.390623177918639
Hellboy,battling the forces of darkness,DS,0.3269228858203793
Cicero,defending plaintiffs,CS,0.39889804904211007
Socrates,teaching the next generation,CS,0.24588324993635077
Amelia Earhart,flying airplanes,CS,0.3565330035884664
General Zod,devising evil schemes,DS,0.29706616747081727
Gore Vidal,writing historical fiction,CS+DS,0.22298826318120113
Benny Hill,chasing old women,CS+DS,0.39473299663477585
Don Draper,creating adverts,DS,0.34446738489967377
Catherine The Great,running a kingdom,CS+DS,0.3443038986790404
Bertie Wooster,playing the piano,DS,0.3983357315097632
Orson Welles,writing Hollywood movies,CS,0.2736962994347221
Glenn Beck,ranting about liberals,CS,0.11981115713485976
Edward Hopper,painting melancholy pictures,CS+DS,0.353791171246689
Johannes Gutenberg,pioneering new technologies,CS,0.13634231230354063
Charlie Brown,worrying about life,DS,0.21829831720650722
Saruman the White,devising evil schemes,DS,0.34257471858863514
Gwyneth Paltrow,starring in Hollywood movies,CS,0.3970347995386293
Cinderella,climbing social ladders,DS,0.2274866631255889
Buzz Aldrin,staring at the moon,CS,0.26187492930217704
Robert Mueller,interpreting evidence,CS,0.14371868562315682
Mickey Mouse,starring in animated movies,DS,0.2768318230915752
Frank Underwood,plotting election strategies,DS,0.392525369444829
Robinson Crusoe,milking coconuts,DS,0.31572499992725733
Ella Fitzgerald,singing torch songs,CS+DS,0.27309137871487016
Charles Darwin,promoting Darwinism,CS+DS,0.18560458713373834
Adrian Monk,finding clues,DS,0.3619980231131191
Jack Nicholson,womanizing,CS,0.16578535118672863
Bono,singing rock songs,CS,0.255836837885356
Jimmy Cagney,starring in Hollywood movies,CS+DS,0.37751289839395413
Genghis Khan,running an empire,CS+DS,0.31916393851849384
Nancy Drew,solving mysteries,DS,0.3028992257922532
Michael Jordan,making dunk shots,CS+DS,0.3980638847125213
Meryl Streep,speaking with funny accents,CS,0.29123018714754995
Queen Victoria,running a kingdom,CS,0.27441598423913866
Orson Welles,starring in Hollywood movies,CS,0.25494171839346985
William Shakespeare,writing sonnets,CS+DS,0.15652447773455277
Marlon Brando,campaigning for social causes,CS,0.3669694219706624
Vincent Van Gogh,going slowly mad,CS,0.38505553655741653
Marty McFly,traveling in time,DS,0.3248517581994176
Orville Wright,developing new technologies,CS,0.15778315269076498
Jack Bauer,tracking down terrorists,DS,0.30264367659155533
Emmeline Pankhurst ,promoting feminism,CS,0.27162257409783047
Russell Crowe,starring in Hollywood movies,CS+DS,0.21612560698798608
Bruce Banner,bursting out of shirts,DS,0.3131021653585735
Sergey Brin,building a search engine,CS+DS,0.13158144363637894
Noam Chomsky,promoting democracy,CS,0.37192179398859415
George Bernard Shaw,writing plays,CS,0.24272689566530917
Indiana Jones,digging for antiquities,DS,0.3012087857894542
Tom Ripley,forging art,DS,0.06939378007758938
Imelda Marcos,shopping for shoes,CS,0.3345322042484519
Carrie Bradshaw,shopping for shoes,DS,0.39527185237917634
Leonardo Da Vinci,developing new technologies,CS,0.39828482924723885
Johann Sebastian Bach,composing classical music,CS,0.3787903689545626
Ted Cruz,promoting conservative values,CS,0.15635085952117805
Archie Bunker,ranting about minorities,DS,0.2715725073374873
Montgomery Burns,amassing wealth,DS,0.16355382771500898
Ophelia,singing bawdy songs,DS,0.3134536117579442
Mahatma Gandhi,promoting racial harmony,CS,0.38515626518378704
Garry Trudeau,drawing political cartoons,CS+DS,0.06065493907095757
Chandler Bing,making sarcastic remarks,DS,0.39469522461480344
Pocahontas,bridging cultures,CS+DS,0.32609437904458966
Richie Rich,squandering money,DS,0.38743912874248587
George Smiley,running a clandestine spy organization,DS,0.3356671175597957
Jimmy Carter,campaigning for world peace,CS+DS,0.39697989660407784
Jack Nicholson,starring in romantic comedies,CS,0.18100289047888293
Catherine The Great,ruling over subjects,CS+DS,0.025557017342456554
John Lennon,campaigning for world peace,CS+DS,0.31926065214787297
Michael Jackson,singing pop songs,CS,0.24788923108298863
Morty Smith,standing up to bullies,DS,0.2243623722768405
Florence Nightingale,treating the sick,CS,0.29986961554795266
Dana Scully,investigating alien abductions,DS,0.21053183101560569
Pepé Le Pew,womanizing,DS,0.37439849166529765
Hellboy,killing demons,DS,0.39496234678448183
Justin Bieber,entertaining teenagers,CS+DS,0.06664277375194451
Gandalf the Grey,blowing smoke rings,DS,0.31265863455575715
Harvey Dent,tempting fate,DS,0.3094545850964717
Woody Allen,directing Hollywood movies,CS,0.34779965812398195
Robert E. Lee,developing military strategies,CS+DS,0.0032446892756217696
Judge Judy Sheindlin,judging legal cases,CS+DS,0.3606106939589272
Jabba the Hutt,running a crime family,DS,0.36710867853015766
Christian Grey,promoting capitalism,DS,0.30877286417479494
Tracy Jordan,starring in comedies,DS,0.3988736331991758
Joan of Arc,leading armies into battle,CS+DS,0.2782727644747106
General Zod,striving for world domination,DS,0.3519129551080441
Dean Winchester,killing demons,DS,0.13522985300423054
Father Ted,preaching tolerance,DS,0.34189876971071853
