First Name,Last Name,ID,Stream,Preference 1,Preference 2,Preference 3,Preference 4,Preference 5,Preference 6,Preference 7,Preference 8,Preference 9,Preference 10
George,Strait,71224204,CS,wearing tights,holding evasive press conferences,flirting with rednecks,designing clothes,starring in madcap comedies,writing rock songs,directing Hollywood movies,directing movies,starring in Hollywood movies,winning tennis grand slams
Jon,Cryer,21359781,CS,teaching the next generation,singing pop songs,trading innuendo,spreading revolution,insulting celebrities,recruiting dissidents,promoting feminism,interviewing politicians,directing movies,chasing after women
Amerigo,Vespucci,58084303,CS,teaching the next generation,attacking neighbors,selling modern art,playing the saxophone,launching cultural revolutions,treating the sick with jokes,insulting minorities,planting evidence,spying for the enemy,writing about manly pursuits
Joyce,Randolph,49159856,CS,puncturing artistic sensibilities,giving speeches,riding a bicycle,running pyramid schemes,predicting the future,running an empire,promoting Fascism,ruling over subjects,making dumb comedies,playing ice hockey
Dirk,Nowitzky,34351967,DS,falling gracefully,writing in ledgers,bending the law,causing mayhem,avoiding work,fighting barbarian hordes,singing pop songs,getting a nose job,creating adverts,hacking into computers
Lady,Baden-Powell,36433126,DS,making ice sculptures,hacking into corporate mainframes,duelling acrobatically,solving crimes,devising evil schemes,seducing women,running a criminal empire,creating adverts,digging for antiquities,reading the news
Jack,Nicholson,33517496,CS,ruling over subjects,running a software company,insulting minorities,spreading revolution,running Ponzi schemes,proving math theorems,playing the organ,promoting new technologies,making modern art,promoting monetarism
Caroline,Kennedy,70928702,CS,winning tennis grand slams,directing Hollywood movies,writing pop songs,running a software company,singing jazz songs,puncturing artistic sensibilities,consolidating an empire,gyrating hips,singing rock songs,leading revolts
Yvonne,DeCarlo,72082362,DS,kicking ass,hunting wabbits,spying for the enemy,being condescending to customers,solving crimes,delivering presents,hunting monsters,talking to mirrors,singing pop songs,keeping accounts
Pete,Rose,64893657,CS,writing Russian novels,developing new technologies,winning tennis grand slams,writing cook books,running for the senate,writing pop songs,writing modern fiction,making action movies,treating the sick with jokes,making vague predictions
Marion,Barry,66491280,DS,finding clues,fishing for shrimps,building an army,keeping accounts,running a criminal empire,fighting for justice,cooking the books,practicing insincerity,singing bawdy songs,running an empire
Mickey,Spillane,21280372,CS,singing pop songs,starring in Hollywood movies,writing pop songs,reporting the news,seducing women,giving speeches,puncturing artistic sensibilities,running races,directing movies,starring in Hollywood movies
Big,Bopper,24891603,CS,doing stand-up,writing Russian novels,running a dictatorship,running an empire,writing pop songs,mangling idioms,running a media empire,treating the sick with jokes,starring in romantic comedies,painting colorful pictures
Cameron,Diaz,32021317,CS,running for the senate,judging legal cases,starring in romantic comedies,writing pop songs,winning tennis matches,running a media empire,teaching philosophy,spreading revolution,starring in Hollywood movies,proving math theorems
Danny,Boyle,20221417,CS,cracking enemy codes,writing pop songs,writing pop songs,writing weird movies,starring in romantic comedies,winning tennis grand slams,selling out,playing tough guys,cozying up to conservatives,doing stand-up
R.,Kelly,97779113,CS,playing the organ,promoting conservative values,running a technology company,running a software company,ranting about liberals,promoting feminism,running a media empire,judging legal cases,writing pop songs,making bizarre movies
John,Glenn,14542368,DS,fishing for shrimps,pioneering new technologies,cooking chrystal meth,raging against the machine,clinging to past dreams,running a hotel,ranting about liberals,punishing terrorists,surviving in the 25th century,stealing human fat
Daniel,Day-Lewis,64561265,DS,spying on girls,avoiding work,wielding political power,hacking into corporate mainframes,singing pop songs,making silly decisions,looking for immortality,running a criminal enterprise,performing household chores,hacking into corporate mainframes
Cole,Sprouse,19921155,DS,beating menial staff,digging for antiquities,stealing human fat,solving mysteries,hacking into corporate mainframes,building an army,cheating at poker,keeping accounts,squandering money,eating census takers
Julia,Roberts,16336422,DS,cooking the books,traveling in time,creating nightmares,terrorizing sleepers,growing up poor,attending cocktail parties,performing household chores,hacking into computers,murdering astronauts,finding clues
Ralph,Ellison,35805070,CS,directing action movies,explaining natural selection,proving math theorems,selling modern art,gurning for the camera,promoting democracy,running a media empire,promoting humanism,singing Hipbop songs,selling self-help books
Andy,Gibb,38259397,DS,practicing insincerity,instigating rebellion,kicking ass,practicing the Occult,ranting about liberals,looking for immortality,duelling acrobatically,hacking into computers,fighting the forces of good,avoiding work
Loretta,Lynn,91190770,CS,promoting feminism,writing rock songs,running pyramid schemes,singing Hipbop songs,planting evidence,smiting Philistines,writing pop songs,blanketing staff with memos,mangling idioms,running a new-age website
Mary,Blige,75681246,CS,singing Hipbop songs,treating the sick with jokes,promoting Fascism,collecting shoes,shopping for shoes,playing the organ,running for the senate,writing about manly pursuits,singing jazz songs,promoting humanism
David,Frost,48418812,DS,stealing human fat,watching the sun rise,solving mysteries,pedalling engine-less cars,buying on credit,teaching Defence Against the Dark Arts,going bowling,attending cocktail parties,fighting the forces of good,manipulating political pawns
Maria,Tallchief,43688617,CS,singing parody songs,writing pop songs,attacking neighbors,trading innuendo,starring in Hollywood movies,ranting about liberals,winning tennis grand slams,chasing after women,recording history,running a media empire
Omar,Sharif,94953085,CS,singing experimental songs,womanizing,making vague predictions,trading in wives,shopping for shoes,painting colorful pictures,whining at umpires,singing blues songs,promoting humanism,recording history
Eileen,Ford,87353338,CS,writing Russian novels,bridging cultures,singing opera arias,winning cycling races,starring in Hollywood movies,promoting science,racing fast cars,crushing dissent,consolidating an empire,flirting with rednecks
Alec,Baldwin,60240365,DS,defending the weak,clinging to past dreams,performing household chores,reading the news,fishing for shrimps,terrorizing sleepers,being condescending to customers,making documentaries,living amongst apes,solving crimes
David,Robinson,34546019,DS,wielding political power,talking to mirrors,keeping accounts,punishing terrorists,terrorizing sleepers,playing pranks,getting a nose job,solving crimes,practicing insincerity,reading the news
Leslie,Caron,67714671,DS,digging for antiquities,looking after children,reading the news,making documentaries,battling the forces of darkness,spitting while speaking,fighting for justice,shagging spies,seducing women,stealing human fat
Eddie,Cantor,75641171,CS,ranting about liberals,trading in wives,starring in romantic comedies,starring in madcap comedies,starring in indy movies,writing Russian novels,winning tennis grand slams,running theme parks,running pyramid schemes,running an empire
John,Cage,90479463,DS,selling comic books,running a criminal enterprise,promoting the Dark Side,studying science,cheating at poker,revelling in blood spatter,digging for antiquities,spying on girls,teaching young mutants,pioneering new technologies
Will,Rogers,26977064,DS,meddling in the dark arts,offering medical opinions,preventing crime,carrying secret plans,teaching the next generation,finding clues,exploiting women,fighting the forces of good,foiling the schemes of evil villains,reading the news
Roald,Dahl,92679251,CS,writing about social problems,starring in Hollywood movies,seducing women,gyrating hips,running a media empire,making dumb comedies,collecting shoes,singing jazz songs,leading revolts,writing modern fiction
Linus,Torvalds,40096812,CS,shopping for shoes,womanizing,singing pop songs,starring in Hollywood movies,singing pop songs,recording history,singing blues songs,recruiting dissidents,engaging in hapless hijinks,singing parody songs
Juliette,Binoche,18591501,CS,starring in indy movies,eliminating political rivals,wearing a batsuit,piloting a spaceship,playing the saxophone,starring in romantic comedies,promoting feminism,testing new technologies,singing melancholy songs,marrying underage girls
Phyllis,Schlafly,41141119,DS,running a criminal enterprise,solving crimes,fighting the forces of good,seducing women,surviving in the 25th century,solving crimes,running a clandestine spy organization,climbing social ladders,teaching young mutants,going bowling
Tom,Waits,90396884,CS,making bizarre movies,writing comedy,piloting a spaceship,proving math theorems,promoting conservative values,collecting shoes,singing Hipbop songs,running for the senate,playing baseball,singing rock songs
Paula,Abdul,56739171,CS,planting evidence,telling politicians what to do,collecting shoes,winning tennis matches,whining at umpires,promoting new technologies,gurning for the camera,trading innuendo,directing Hollywood movies,crushing dissent
Beyonce,Knowles,15087589,CS,singing melancholy songs,running an empire,cracking enemy codes,singing pop songs,ruling over subjects,selling out,writing pop songs,playing ice hockey,scandalizing polite society,singing opera arias
Hank,Azaria,23944890,CS,interviewing politicians,running Ponzi schemes,marrying underage girls,blanketing staff with memos,promoting liberalism,singing Hipbop songs,puncturing artistic sensibilities,selling modern art,reporting the news,betraying friends
Graham,Nash,38818221,CS,singing opera arias,running an empire,selling self-help books,playing the saxophone,following the money,recording history,planting evidence,collecting shoes,playing rock guitar,running a dictatorship
Alan,King,94553899,DS,running a clandestine spy organization,stealing human fat,growing up poor,climbing social ladders,reading the news,starring in Hollywood movies,spying for the enemy,teaching Defence Against the Dark Arts,spitting while speaking,singing pop songs
Leonard,Nimoy,16074386,DS,fighting barbarian hordes,revelling in blood spatter,being a good neighbor,promoting logical thinking,creating nightmares,singing pop songs,solving mysteries,causing mayhem,cheating at poker,running a clandestine spy organization
Tempestt,Bledsoe,25272512,CS,making dumb comedies,designing modern buildings,studying computability,singing melancholy songs,changing privacy settings,ranting about liberals,insulting celebrities,writing about manly pursuits,engaging in hapless hijinks,starring in Hollywood movies
James,Brown,33531527,DS,living amongst apes,raging against the machine,fighting the forces of good,keeping accounts,spying for the enemy,exploiting women,delivering presents,promoting logical thinking,solving crimes,hacking into computers
James,Farentino,35265793,CS,running a new-age website,winning Oscars,making violent movies,seducing women,ruling over subjects,winning cycling races,cracking enemy codes,eliminating political rivals,whining at umpires,launching cultural revolutions
Francis,Coppola,69219079,CS,plagiarizing political speeches,singing opera arias,painting colorful pictures,trading in wives,playing baseball,telling politicians what to do,spreading revolution,running an empire,developing new technologies,playing the saxophone
Amy,Adams,29687765,CS,trading in wives,predicting the future,ranting about liberals,whining at umpires,painting colorful pictures,winning tennis matches,directing Hollywood movies,making dumb comedies,ruling over subjects,doing stand-up
Lewis,Carrol,66227604,CS,directing Hollywood movies,promoting feminism,starring in madcap comedies,writing pop songs,judging legal cases,telling politicians what to do,insulting celebrities,promoting conservative values,holding evasive press conferences,puncturing artistic sensibilities
Gene,Roddenberry,22344722,CS,playing basketball,wielding political power,promoting boxing fights,winning golf tournaments,insulting celebrities,writing pop songs,starring in romantic comedies,trading in wives,riding a bicycle,blanketing staff with memos
Roger,Corman,39118776,DS,fighting for justice,instilling fear in the enemy,shagging spies,battling the forces of darkness,avoiding work,wielding political power,looking for immortality,eating census takers,kicking ass,cooking chrystal meth
Sid,Caesar,69656182,CS,winning tennis matches,riding a bicycle,over-acting,making modern art,writing pop songs,whining at umpires,teaching the next generation,writing pop songs,making political gaffes,starring in Hollywood movies
Roger,Maris,85361896,CS,running a kingdom,playing James Bond,judging legal cases,playing baseball,doing stand-up,writing cook books,starring in Hollywood movies,gyrating hips,singing experimental songs,running a technology company
John,Walsh,48307410,CS,playing tough guys,selling self-help books,playing rock guitar,singing pop songs,gurning for the camera,doing stand-up,running a media empire,starring in Hollywood movies,making violent movies,promoting feminism
Rhonda,Fleming,12181077,CS,singing blues songs,writing rock songs,running pyramid schemes,scandalizing polite society,promoting new technologies,insulting celebrities,coining sparkling witticisms,running a technology company,singing experimental songs,marrying underage girls
Nastassia,Kinski,17089903,DS,fighting barbarian hordes,pioneering new technologies,surviving in the 25th century,making ice sculptures,fussing about cleanliness,cheating at poker,promoting the Dark Side,getting a nose job,reading the news,solving crimes
Jack,Niclaus,85418374,CS,selling modern art,writing serialized stories,gyrating hips,puncturing artistic sensibilities,bridging cultures,writing pop songs,running a media empire,singing pop songs,running a technology company,starring in Hollywood movies
Chris,Gaines,42417395,DS,instilling fear in the enemy,singing bawdy songs,selling comic books,smoking during recess,clinging to past dreams,cheating at poker,spying on girls,watching the sun rise,testing new technologies,eluding the CIA
Victor,Fleming,13971912,CS,playing tough guys,promoting humanism,directing action movies,promoting conservative values,singing punk rock songs,promoting feminism,running for the senate,bridging cultures,running a new-age website,writing pop songs
Timothy,Dalton,34681979,DS,revelling in blood spatter,starring in Hollywood movies,running a criminal empire,solving mysteries,kicking ass,fishing for shrimps,wielding political power,talking to mirrors,foiling the schemes of evil villains,tracking down criminals
Richard,Simmons,36876168,DS,fussing about cleanliness,stealing human fat,battling the forces of darkness,punishing terrorists,looking for immortality,attending cocktail parties,starring in Hollywood movies,murdering astronauts,practicing good skin care,running a clandestine spy organization
Pierce,Brosnan,37890801,CS,seducing women,recruiting dissidents,chasing criminals,singing rock songs,ruling over subjects,interviewing politicians,writing modern fiction,ranting about liberals,starring in Hollywood movies,studying computability
Hosni,Mubarak,85450739,CS,running a religious cult,running an empire,singing Hipbop songs,directing movies,playing tough guys,whining at umpires,cozying up to conservatives,teaching the next generation,following the money,starring in Hollywood movies
Wilt,Chamberlain,50056507,CS,starring in Hollywood movies,promoting feminism,writing pop songs,running an empire,chasing criminals,riding a bicycle,following the money,singing pop songs,singing blues songs,attacking neighbors
Chad,Murray,97888692,CS,dating centrefolds,testing new technologies,scandalizing polite society,exploring the new world,making bizarre movies,telling politicians what to do,promoting feminism,running an empire,directing the business of state,whining at umpires
Ron,Glass,27550072,DS,fishing for shrimps,duelling acrobatically,exploiting women,squandering money,devising evil schemes,looking after children,womanizing,promoting the Dark Side,practicing the Occult,digging for antiquities
Rachel,Weisz,53783319,DS,squandering money,ranting about liberals,watching the sun rise,revelling in blood spatter,digging for antiquities,meddling in the dark arts,battling the forces of darkness,running a criminal empire,falling gracefully,spying on girls
Andrew,Young,76924324,DS,foiling the schemes of evil villains,promoting logical thinking,murdering astronauts,finding clues,looking for immortality,stealing human fat,delivering presents,hacking into computers,fussing about cleanliness,foiling the schemes of evil villains
Jackie,Gleason,14934107,CS,throwing temper tantrums,piloting a spaceship,holding evasive press conferences,running an empire,cracking enemy codes,running races,treating the sick with jokes,making action movies,writing poetry,running a media empire
Flip,Wilson,70899360,DS,reading the news,digging for antiquities,devising evil schemes,chasing cats,going bowling,running a criminal enterprise,spying for the enemy,duelling acrobatically,delivering presents,developing new technologies
Kelsey,Grammer,89829465,CS,developing military strategies,starring in indy movies,trading in wives,chasing criminals,reporting the news,explaining natural selection,changing privacy settings,starring in Hollywood movies,coining sparkling witticisms,promoting boxing fights
Madeline,LEngle,36879673,DS,making silly decisions,making documentaries,performing household chores,promoting the Dark Side,revelling in blood spatter,solving crimes,running a criminal empire,pedalling engine-less cars,delivering presents,murdering astronauts
Mary,Leakey,17267839,CS,recording history,telling politicians what to do,starring in Hollywood movies,writing pop songs,proving math theorems,piloting a spaceship,judging legal cases,teaching the next generation,reporting the news,running races
Cliff,Richard,48544575,CS,writing rock songs,blanketing staff with memos,running a media empire,playing tough guys,winning tennis matches,running theme parks,writing about manly pursuits,chasing after women,writing pop songs,singing melancholy songs
Priscilla,Presley,51185497,CS,running an empire,writing weird movies,insulting celebrities,writing serialized stories,blanketing staff with memos,winning tennis matches,developing new technologies,ruling over subjects,planting evidence,collecting shoes
Pablo,Picasso,31177050,CS,engaging in hapless hijinks,plagiarizing political speeches,promoting conservative values,running a new-age website,ruling over subjects,running an empire,writing pop songs,treating the sick,starring in Hollywood movies,trading in wives
Swami,Vivekananda,79803564,CS,crushing dissent,promoting monetarism,directing action movies,holding evasive press conferences,making violent movies,doing stand-up,wearing a batsuit,winning boxing matches,trading in wives,starring in TV shows
Samuel,Hopkins,94155226,DS,teaching young mutants,studying magic,spitting while speaking,avoiding work,running a hotel,fighting the forces of good,practicing insincerity,falling gracefully,hacking into corporate mainframes,duelling acrobatically
Dorothea,Lange,79644222,DS,teaching Defence Against the Dark Arts,tracking down terrorists,spying on girls,promoting mysticism,shagging spies,performing household chores,raging against the machine,falling gracefully,pedalling engine-less cars,tracking down criminals
Marion,Barry,53925273,DS,tracking down terrorists,living amongst apes,reading the news,finding clues,selling dodgy goods,keeping accounts,duelling acrobatically,fighting the forces of good,growing up poor,playing pranks
Tony,Hawk,42786126,CS,composing classical music,rooting out facts,mangling idioms,running an empire,making violent movies,writing pop songs,starring in Hollywood movies,leaking state secrets,winning tennis grand slams,wearing a batsuit
Otto,Bismarck,58145573,CS,promoting conservative values,racing fast cars,writing cook books,starring in madcap comedies,gurning for the camera,singing parody songs,chasing criminals,singing pop songs,winning Oscars,running a new-age website
Riley,Smith,84184585,CS,collecting shoes,running a software company,singing experimental songs,singing opera arias,chasing after women,promoting monetarism,promoting conservative values,playing rock guitar,wearing tights,giving speeches
Margaret,Thatcher,63476994,DS,solving crimes,avoiding work,playing pranks,making ice sculptures,guarding the galaxy,promoting the Dark Side,tracking down terrorists,maintaining a secret identity,keeping accounts,devising evil schemes
Annie,Duke,76375210,CS,flirting with rednecks,making violent movies,ranting about liberals,seducing women,gurning for the camera,leaking state secrets,giving speeches,eliminating political rivals,riding a bicycle,running for the senate
Grace,Bumbry,20580128,CS,writing pop songs,mangling idioms,singing experimental songs,writing poetry,playing baseball,promoting new technologies,riding a bicycle,starring in madcap comedies,selling modern art,dating centrefolds
Roddy,McDowall,65219104,DS,defending the weak,performing household chores,creating adverts,duelling acrobatically,making silly decisions,beating menial staff,being condescending to customers,meddling in the dark arts,solving mysteries,running a criminal enterprise
