Staff Name,Research Activity,Stream,Preferred Probability
Nostradamus,making vague predictions,CS,0.3904083344347172
Bruce Wayne,maintaining a secret identity,DS,0.07838282561295894
Jason Voorhees,terrorizing sleepers,DS,0.15848130966640514
Darth Maul,fighting the forces of good,DS,0.15533513103832994
Donald Rumsfeld,holding evasive press conferences,CS,0.3730671568922034
Hercule Poirot,pursuing criminals,DS,0.00911915143261891
Ernest Hemingway,writing about manly pursuits,CS+DS,0.3471506212730852
Kylo Ren,fighting the forces of good,DS,0.23347577959156848
Kim Jung-un,crushing dissent,CS,0.2964914334771698
Eddy Merckx,winning cycling races,CS,0.29725107592715216
Euclid,studying mathematics,CS,0.18281006774215985
Buzz Lightyear,falling gracefully,DS,0.39103754250069134
Christian Bale,wearing a batsuit,CS+DS,0.39799625907561437
Frank Sinatra,recording pop songs,CS+DS,0.18592769914058607
Sauron,building an army,DS,0.3602921450216327
Steve Guttenberg,making dumb comedies,CS,0.318676511123024
George Orwell,promoting liberalism,CS+DS,0.13436407337014417
Humphrey Bogart,playing tough guys,CS,0.22805035164627988
R2D2,carrying secret plans,DS,0.17883755384222205
Pete Sampras,winning tennis matches,CS,0.39823534207324707
Noam Chomsky,promoting democracy,CS,0.07304104350984562
Dr. John Watson,writing up case notes,DS,0.11556612437930197
Tom Waits,singing blues songs,CS+DS,0.23609170421641928
Benedict Arnold,selling out,CS+DS,0.33584537026102795
Yogi Berra,mangling idioms,CS,0.3872782504836458
Ron Burgundy,maintaining salon-quality hair,DS,0.03982021183412924
Borat,making documentaries,DS,0.39746848253697636
Nancy Drew,finding clues,DS,0.24343811731162027
King Henry VIII,trading in wives,CS+DS,0.3389646830513598
Dian Fossey,living amongst apes,CS,0.360622784388425
Matt Groening,writing comedy,CS+DS,0.06440966437281924
Inspector Endeavour Morse,solving crimes,DS,0.3902348396210333
Michael Jordan,playing basketball,CS+DS,0.29509200787689577
General George Patton,planning tank battles,CS,0.034553982068018074
Judge Judy Sheindlin,delivering judgments,CS,0.39797652043046117
Truman Capote,writing modern fiction,CS,0.1970820989171445
Batman,solving crimes,DS,0.3964433065611339
Edward Snowden,leaking state secrets,CS,0.2737857418404583
Santa Claus,delivering presents,DS,0.3905414708162319
Marcel Duchamp,puncturing artistic sensibilities,CS+DS,0.3984758150688102
Dr. John Watson,offering medical opinions,DS,0.3402103057861821
Boy George,writing pop songs,CS+DS,0.2726932830243896
Jeremy Clarkson,insulting minorities,CS+DS,0.18088768834154265
David Hasselhoff,starring in reality TV shows,CS,0.10239648382778903
John Travolta,starring in Hollywood movies,CS,0.27868198945667766
Jack Bauer,tracking down terrorists,DS,0.3860491382680401
Bernard Madoff,running pyramid schemes,CS,0.38299754606231307
Bob Woodward,following the money,CS,0.39877255693454744
Saga Norén,interpreting evidence,DS,0.37813128876227536
Imelda Marcos,collecting shoes,CS+DS,0.31435652101486383
Beetlejuice,causing mayhem,DS,0.3237763391925554
Austin Powers,shagging spies,DS,0.32676621961675284
Gwyneth Paltrow,running a new-age website,CS,0.39889127780300354
Joan Rivers,insulting celebrities,CS+DS,0.33146925182221565
Batman,solving crimes,DS,0.322984360252029
Hannibal Lecter,eating census takers,DS,0.36379546404924584
Glenn Quagmire,exploiting women,DS,0.3944687516997479
Stephen Hawking,promoting science,CS+DS,0.20825872129843992
Alan Turing,cracking enemy codes,CS+DS,0.3989176575277335
Keith Richards,playing rock guitar,CS+DS,0.39436939742334665
Bette Midler,over-acting,CS,0.10470538598509031
Jason Voorhees,creating nightmares,DS,0.1515782710650291
Cardinal Richelieu,plotting strategies,CS+DS,0.047332202767817605
John Belushi,starring in madcap comedies,CS,0.38161567255305345
Mrs. Doubtfire,performing household chores,DS,0.3009029683172259
Tom Hanks,starring in Hollywood movies,CS,0.3857148693852015
Johann Sebastian Bach,playing the organ,CS+DS,0.3603752549672874
Billy Bob Thornton,starring in indy movies,CS+DS,0.3982947082677334
Jerry Lee Lewis,singing rock songs,CS+DS,0.09977526182391942
John Maynard Keynes,promoting monetarism,CS,0.19694037230191952
Sterling Archer,performing kung-fu moves,DS,0.10895050393522125
Agent Phil Coulson,running a clandestine spy organization,DS,0.3978093576740953
