Staff Name,Research Activity,Stream,Preferred Probability
Malcolm X,fighting for civil rights,CS,0.33226306145591394
Mariah Carey,singing Hipbop songs,CS,0.29617901119491097
Enrico Caruso,singing opera arias,CS,0.1965181346722482
George McFly,spying on girls,DS,0.35036420530244294
Ernst Stavro Blofeld,devising evil schemes,DS,0.36939799658215067
Ebenezer Scrooge,saving money,DS,0.324993934783218
Jerry Seinfeld,doing stand-up,CS,0.1318144603753603
Tom Waits,writing blues songs,CS+DS,0.3904596546676743
Roy Batty,looking for immortality,DS,0.2926013248529676
Niccolò Paganini,playing the violin,CS+DS,0.18401359481464763
Sid Vicious,singing punk rock songs,CS,0.16380974344899318
Gwyneth Paltrow,raising new-age children,CS+DS,0.2850971110832195
Selma Bouvier,smoking Laramie Hi-Tars,DS,0.019908008999956765
Dr. Julius No,collecting stamps,DS,0.1122147288254115
Inspector Jacques Clouseau,finding clues,DS,0.3323211314189123
Maleficent,poisoning an apple,DS,0.2848372368693747
Ali G,interviewing celebrities,DS,0.39875784301516976
Sideshow Bob,developing cunning plans,DS,0.3185970403899282
Boris Johnson,ranting about liberals,CS,0.01212539580511739
Eddie Murphy,starring in comedies,CS,0.39635718803356285
George W. Bush,launching foreign wars,CS,0.3983353076872667
Mick Jagger,gyrating hips,CS,0.23766764722341935
Stephen Jay Gould,promoting evolutionary theory,CS+DS,0.16499575960404353
Sydney Bristow,kicking ass,DS,0.28927144277491706
Joan Crawford,starring in Hollywood movies,CS,0.26805674322515294
Pope Benedict XVI,promoting conservative values,CS+DS,0.007494129986340056
Tess Durbeyfield,climbing social ladders,DS,0.008974828988394867
Michael O'Leary,selling cheap airline seats,CS,0.2279996701100105
Tom Ripley,climbing social ladders,DS,0.25524419749458216
Joseph McCarthy,fighting for democracy,CS,0.36850882229494614
Stephen Jay Gould,collecting fossils,CS+DS,0.33362501962743507
Shrek,defending the weak,CS+DS,0.14751371054862025
Fred Astaire,starring in musical comedies,CS+DS,0.02552555452856522
Howard Hughes,hiding from the public,CS+DS,0.2653339203796061
Edward Hopper,painting melancholy pictures,CS+DS,0.1487669572712479
Buck Rogers,surviving in the 25th century,DS,0.3947300290559464
Lord Percy Percy,flaunting foppish fashions,DS,0.32242977723926103
Samuel Pepys,keeping a diary,CS+DS,0.3774824040849234
John Calvin,promoting conservative values,CS,0.19042426539257312
Tyler Durden,causing mayhem,DS,0.3115347797817471
Gary Larson,drawing whimsical cartoons,CS,0.32087575544778035
Dorian Gray,avoiding growing old,DS,0.3905107167802245
Jerry Springer,hosting reality TV shows,CS+DS,0.35890155403881874
Conan the Barbarian,fighting barbarian hordes,DS,0.34166553298136043
Tony Blair,cozying up to conservatives,CS,0.36075821543639175
Ellen Ripley,hunting aliens,DS,0.13688030648176291
Adam Sandler,making dumb comedies,CS+DS,0.26201224526164363
Anna Karenina,worrying about adultery,DS,0.14789517170347358
Borat,interviewing politicians,DS,0.309857005157361
Sam Spade,solving crimes,DS,0.29035777801969953
Brian Wilson,waxing a surfboard,CS,0.27054351347907934
Bugs Bunny,pulling pranks,DS,0.07651491906521107
Michael Jordan,making dunk shots,CS+DS,0.3820441608822473
Michael Phelps,winning swimming competitions,CS,0.39862592466622265
Mike Tyson,winning heavyweight titles,CS,0.36801388468857044
Piers Morgan,interviewing politicians,CS+DS,0.3033105814477566
Kent Brockman,hosting anodyne game shows,DS,0.39884765368244857
Frank Underwood,plotting election strategies,DS,0.29972110556300813
Mickey Mouse,starring in animated movies,DS,0.14265267967131634
Whitney Houston,singing pop songs,CS+DS,0.33873784149739095
Kenneth Parcell ,leading tour groups,DS,0.07360680590094107
Aristotle,writing on wax tablets,CS+DS,0.39777323290491556
Ebenezer Scrooge,terrorizing employees,DS,0.0989250831521462
Whitney Houston,writing pop songs,CS+DS,0.1795509796409316
William Randolph Hearst,publishing newspapers,CS+DS,0.3782479190849397
Bernard Madoff,running pyramid schemes,CS,0.31472379823625135
Monica Lewinsky,causing political scandals,CS+DS,0.39606295709820594
Jar Jar Binks,providing comic relief,DS,0.3959191969475689
Oscar Pistorius,running races,CS,0.29863449150035604
Pocahontas,bridging cultures,CS,0.3481506916446924
Shirley Temple,starring in Hollywood movies,CS,0.2912134108772376
Zsa Zsa Gabor,divorcing husbands,CS,0.2151697691197542
Liz Lemon,writing comedy,DS,0.3806628763575713
Edmund Blackadder,wielding political power,DS,0.30280055659893235
Harry S. Truman,campaigning for the presidency,CS+DS,0.36747620752365023
Archimedes,studying mathematics,CS+DS,0.39874130316312806
Professor Charles Xavier,promoting tolerance,DS,0.39199571160085384
Beetlejuice,practicing the Occult,DS,0.39252294256775566
Mister Magoo,causing mayhem,DS,0.3584651251347776
Peter Pan,avoiding growing old,DS,0.3799787634754238
Selma Bouvier,watching MacGyver reruns,DS,0.2647359078737748
Rocket Raccoon,guarding the galaxy,DS,0.25917255855934285
Roy Batty,avoiding retirement,DS,0.3519221507426307
Beatrix Potter,drawing whimsical cartoons,CS+DS,0.2950493073809416
Wernher von Braun,building rocket ships,CS,0.012754259558074476
Bill Gates,pushing dodgy operating systems,CS,0.1392206883870966
Keyser Söze,running a criminal enterprise,DS,0.39758420763743446
Sir Hugo Drax,striving for world domination,DS,0.24761679337258102
Winnie the Pooh,cooking for friends,DS,0.21823172541033303
Buzz Aldrin,collecting rock samples,CS+DS,0.32902105456094416
Jim Jones,organizing mass suicides,CS+DS,0.2898004330715876
John Lennon,writing pop songs,CS+DS,0.2882133927162165
William Randolph Hearst,running a media empire,CS+DS,0.35937699723176564
Euclid,proving math theorems,CS+DS,0.38491180544971765
Lady Macbeth,climbing social ladders,DS,0.38914057678504127
Kim Jong-Il,issuing threats,CS+DS,0.1247493616951089
Larry David,doing stand-up,CS,0.39797334651557253
Caitlyn Jenner,campaigning for social causes,CS,0.3133281651878233
Groucho Marx,starring in madcap comedies,CS+DS,0.17143961677011602
Sam Spade,solving mysteries,DS,0.10075160394428996
Basil Fawlty,running a hotel,DS,0.39696969727147885
John Merrick,hiding from the public,CS,0.14121450443382963
George Harrison,playing guitar,CS+DS,0.3067510858324769
Tina Fey,writing comedy,CS,0.398875282822067
Kal El,reporting the news,DS,0.39759280656426677
Pyotr Ilyich Tchaikovsky,composing classical music,CS,0.3825579759250021
Benedict Arnold,changing sides,CS,0.3856554006228323
Tom Brady,signing sports memorabilia,CS+DS,0.3284625774802989
Captain Ahab,commanding a whaling ship,DS,0.21774768894144123
Princess Fiona,waiting for a hero,DS,0.3538365932782761
Erasmus,promoting humanism,CS+DS,0.3900681768586484
Leon Trotsky,promoting communism,CS,0.39824607079478375
Tony DiNozzo,interpreting evidence,DS,0.19093936669719977
Ayatollah Khomeini,issuing fatwas,CS,0.08826722580785494
Peter Griffin,making silly decisions,DS,0.3485460633859447
Buddy Holly,singing pop songs,CS,0.3790610772485048
Mrs. Doubtfire,impersonating women,DS,0.25870299943542674
Sherlock Holmes,solving mysteries,DS,0.3714680958364435
Jesse Pinkman,running a criminal empire,DS,0.1973732654472043
Robert E. Lee,leading armies into battle,CS,0.2740624420810779
Reginald Jeeves,rescuing aristocrats,DS,0.08261724426059248
Chris Rock,cross-dressing in women's clothes,CS,0.3479239824427904
Steve Jobs,developing new technologies,CS,0.36982139726557645
Monica Lewinsky,doing diet commercials,CS+DS,0.3989012783319017
Harry S. Truman,wielding political power,CS+DS,0.3845112275126423
Sylvia Plath,writing poetry,CS,0.030076892708589376
Chandler Bing,making sarcastic remarks,DS,0.3463838193138022
Frodo Baggins,disposing of unwanted jewelry,DS,0.12978002808906222
Father Ted,spreading Christianity,DS,0.13430694326705694
Lando Calrissian,running a criminal enterprise,DS,0.3988152688053595
Tony Stark,running a software company,DS,0.28964806983635605
Borat,interviewing celebrities,DS,0.2625988327204263
Pope Francis,promoting Catholic values,CS,0.39795247752879376
Joseph Goebbels,running a propaganda machine,CS,0.2121678615542507
Euclid,studying mathematics,CS+DS,0.26885181910087697
Quasimodo,hiding from the public,DS,0.06987406964937887
Adolf Eichmann,running a criminal enterprise,CS+DS,0.2604540807781138
George Michael,singing pop songs,CS,0.32729475048991225
Steve Bannon,promoting conservative values,CS+DS,0.10121493978597201
Bertie Wooster,doing the Charleston,DS,0.30281377252305625
Queen Victoria,ruling over subjects,CS+DS,0.1210293025021941
Hercule Poirot,solving crimes,DS,0.20332685187982055
Leonard Hofstadter,obeying annoying rules,DS,0.2863484570456993
Doc Emmett Brown,developing new technologies,DS,0.19205719478772562
Kylo Ren,fighting the forces of good,DS,0.23904650507762978
Jeff Bezos,selling consumer goods,CS,0.3870430533026452
Michael Jackson,writing pop songs,CS+DS,0.06964686165403072
Gordon Gekko,launching hostile takeovers,DS,0.21196378377541833
Florence Nightingale,treating the injured,CS,0.22218328833412257
Michael Corleone,running an empire,DS,0.31253507403851083
