Staff Name,Research Activity,Stream,Preferred Probability
Willy Wonka,selling confectionary,DS,0.35332328342582386
Timothy McGee,finding clues,DS,0.3290794000070847
Charles Foster Kane,publishing newspapers,DS,0.22679434565705056
Julian Assange,decrying secrecy,CS+DS,0.2056365259261915
Keith Moon,playing drums,CS,0.24028627723709317
Robinson Crusoe,surviving a shipwreck,DS,0.05658785136910706
Ross Geller,studying dinosaurs,DS,0.3833327461062839
Vladimir Putin,running an empire,CS+DS,0.34473808850611376
Katniss Everdeen,fighting for justice,DS,0.38660161863366044
John Merrick,hiding from the public,CS+DS,0.2986921148675905
Lady Gaga,singing pop songs,CS+DS,0.38545553207633143
Eric Cartman,making racist jibes,DS,0.39883801777087013
Louis Armstrong,playing jazz trumpet,CS+DS,0.39778703186248554
Newt Gingrich,ranting about liberals,CS+DS,0.00535885034497079
Michael Schumacher,racing fast cars,CS+DS,0.30714044605017915
Eliza Doolittle,handing out flowers,DS,0.03991489703775499
Salman Rushdie,writing modern fiction,CS+DS,0.14040077687598787
Salvador Dali,creating optical illusions,CS,0.3532229782234531
Robinson Crusoe,milking coconuts,DS,0.26801356106753504
Leonardo Da Vinci,painting realistic pictures,CS+DS,0.11691707519727197
Emmeline Pankhurst ,promoting feminism,CS,0.39470416926282204
Henry Miller,writing erotic fiction,CS+DS,0.1727645669482574
Elton John,shopping for shoes,CS+DS,0.3876824067150931
Wyatt Earp,running a frontier town,CS+DS,0.3740378321833901
Mad Max Rockatansky,surviving in a post-apocalyptic world,DS,0.19732214465990444
Tyler Durden,causing mayhem,DS,0.3978648559965008
Jack Kerouac,writing beat fiction,CS+DS,0.2305518388240522
Imelda Marcos,shopping for shoes,CS+DS,0.06621346011438611
Captain William Bligh,barking orders at subordinates,CS,0.39480387176495046
Hellboy,battling the forces of darkness,DS,0.17500061101588485
David Mamet,writing plays,CS+DS,0.39106647745926476
Michael Moore,complaining about capitalism,CS+DS,0.29091649246382423
Arthur Dent,drinking tea,DS,0.39725520390859453
Monica Geller,fussing about cleanliness,DS,0.34222886332125296
Conan the Barbarian,foiling the schemes of evil villains,DS,0.18309109364962126
Johann von Goethe,writing about social problems,CS,0.39819627716416683
Bridget Jones,keeping a diary,DS,0.33670553784431423
Paris Hilton,monetizing celebrity status,CS+DS,0.38978032343574726
Kevin Smith,selling comic books,CS,0.386230659499701
Charlie Chaplin,struggling with modern times,CS,0.27537680073694476
Michael Corleone,running a crime family,DS,0.39281992083521783
Victor Frankenstein,creating monsters,DS,0.3518538758515741
Ed Wood,directing science fiction movies,CS+DS,0.2306161344115253
G. Gordon Liddy,promoting conservative values,CS,0.39451164482743545
Elmore Leonard,writing compelling dialogue,CS+DS,0.17994625511359869
Glenn Quagmire,chasing women,DS,0.3015530654374698
Sigmund Freud,probing the mind,CS+DS,0.2472505943322915
Hercule Poirot,pursuing criminals,DS,0.37905450600980106
David Mamet,directing movies,CS+DS,0.15849986249760245
Princess Leia Organa,leading the rebel alliance,DS,0.37907014752740004
Superman,reporting the news,DS,0.20965204797940892
John Constantine,exorcising demons,DS,0.398314899441762
Norman Bates,spying on girls,DS,0.14605382639705602
Michelangelo,painting church ceilings,CS+DS,0.33682727449123834
Yoda,teaching the next generation,DS,0.39501092156942325
Michael Corleone,running an empire,DS,0.3928061399212751
Michael O'Leary,selling cheap airline seats,CS,0.20869169189212733
Edward Snowden,leaking classified documents,CS,0.33725454577306146
Lady Macbeth,wielding political power,DS,0.1562756417345355
Richard Nixon,bugging political rivals,CS+DS,0.3858922249288319
Baron Munchausen,telling tall tales,DS,0.3956977599082256
Woody Allen,directing comedies,CS+DS,0.290330019394667
Kim Jung-un,enriching uranium,CS+DS,0.37980272158269457
Count Dracula,chasing virgins,DS,0.3824748670714641
Emperor Palpatine,running an empire,DS,0.3706144054343345
Freddie Mercury,cross-dressing in women's clothes,CS+DS,0.311197682812681
Kylo Ren,fighting the forces of good,DS,0.36404490578436366
Groundskeeper Willie MacDougal,burying dead hamsters,DS,0.2613354115164562
Edward Scissorhands,trimming bushes,DS,0.332357870447503
Larry Flynt,publishing soft pornography,CS+DS,0.38787236467447567
Buddy Holly,singing pop songs,CS,0.34193750021027075
Modesty Blaise,pulling capers,DS,0.28257621740602734
Scipio Africanus,fighting barbarian hordes,CS+DS,0.3391902374574963
Eleanor Roosevelt,campaigning for social causes,CS,0.3535393106523694
Hermione Granger,concocting magic potions,DS,0.3324224182198532
Daphne Moon,performing physical therapy,DS,0.3852469447084284
Tim Berners-Lee,promoting the Web,CS,0.3942145573353777
Don King,promoting boxing fights,CS,0.025019269273978514
Timothy McGee,hacking into computers,DS,0.3805273238286127
Tom Sawyer,playing pranks,DS,0.25983040141535313
Noam Chomsky,promoting democracy,CS+DS,0.3043136754709762
Jean-Paul Sartre,smoking Boyard cigarettes,CS,0.004562318428716063
